ECLI,Ref_ECLI,Anchor text,Paragraph
ECLI:NL:HR:2003:AF4595,ECLI:NL:HR:2003:AF4595,Bas-C,"3.6 Het vorenstaande wordt niet anders indien de stelling van [verweerder] juist zou zijn dat hij in dier voege over het saldo van de bankrekening van Bas-C B.V. i.o. heeft beschikt dat hij daaraan als oprichter een bedrag heeft onttrokken, welk bedrag hij vervolgens in privé aan Bas-C B.V. verschuldigd werd ten titel van geldleen nadat Bas-C B.V. deze onttrekkingen had bekrachtigd. Ook in dat geval staat immers vast dat [verweerder] niet het bedrag van het kapitaal daadwerkelijk vóór de oprichting aan Bas-C B.V. ter beschikking heeft gesteld, maar slechts een vordering ter hoogte van dat bedrag op zichzelf heeft doen ontstaan. Ook dit kan niet als een rechtsgeldige volstorting worden aangemerkt."
ECLI:NL:HR:2003:AF4595,ECLI:NL:HR:2003:AF4595,Bas-C,"3.7 Evenmin kan op grond van de eerste onder 3.1(v) aangehaalde passage uit de desbetreffende akte worden aangenomen dat voor of bij de oprichting van Bas-C B.V. geld is gestort op de aandelen in haar kapitaal overeenkomstig het bepaalde in art. 2:203a BW. Dat is al daarom niet het geval omdat de voorwaarde (""althans indien""), die in deze akte is verbonden aan de daarin bedoelde bekrachtiging van ""de onttrekkingen van bedragen aan de rekening bedoeld in artikel 203a lid 1 sub b van Boek 2 van het Burgerlijk Wetboek"", wat daarvan overigens zij, niet in vervulling is gegaan, gelet op het vorenoverwogene."
ECLI:NL:HR:2003:AF4595,ECLI:NL:HR:2003:AF4595,11 juli 2003 Eerste Kamer Nr. C01/206HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C01/206HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: Mr. Rudolphus Gerardus Bruno HERMSEN, in zijn hoedanigheid van curator in het faillissement van BAS-C B.V., wonende te Tilburg, EISER tot cassatie,"
ECLI:NL:HR:2003:AF4595,ECLI:NL:HR:2003:AF4595,BAS-C,"11 juli 2003 Eerste Kamer Nr. C01/206HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: Mr. Rudolphus Gerardus Bruno HERMSEN, in zijn hoedanigheid van curator in het faillissement van BAS-C B.V., wonende te Tilburg, EISER tot cassatie,"
ECLI:NL:HR:2003:AF4595,ECLI:NL:HR:2003:AF4595,BAS-C,"Mr. Rudolphus Gerardus Bruno HERMSEN, in zijn hoedanigheid van curator in het faillissement van BAS-C B.V.,"
ECLI:NL:HR:2003:AF4595,ECLI:NL:HR:2003:AF4595,BAS-C,"2. [verweerder] te veroordelen om aan de curator te voldoen het bedrag van de schulden van de vennootschap BAS-C B.V., voorzover deze niet door vereffening van de overige baten van de vennootschap kunnen worden voldaan, op te maken bij staat en te vereffenen volgens de wet, en bij wege van voorschot aan de curator te voldoen de somma van ƒ 132.372,37, waarbij in mindering kan strekken datgene waartoe [verweerder] op basis van punt 1 hiervoor veroordeeld wordt, alles vermeerderd met de wettelijke rente, en"
ECLI:NL:HR:2003:AF4595,ECLI:NL:HR:2003:AF4595,Bas-C B.V. verschuldigd werd ten titel van geldleen nadat Bas-C,"3.6 Het vorenstaande wordt niet anders indien de stelling van [verweerder] juist zou zijn dat hij in dier voege over het saldo van de bankrekening van Bas-C B.V. i.o. heeft beschikt dat hij daaraan als oprichter een bedrag heeft onttrokken, welk bedrag hij vervolgens in privé aan Bas-C B.V. verschuldigd werd ten titel van geldleen nadat Bas-C B.V. deze onttrekkingen had bekrachtigd. Ook in dat geval staat immers vast dat [verweerder] niet het bedrag van het kapitaal daadwerkelijk vóór de oprichting aan Bas-C B.V. ter beschikking heeft gesteld, maar slechts een vordering ter hoogte van dat bedrag op zichzelf heeft doen ontstaan. Ook dit kan niet als een rechtsgeldige volstorting worden aangemerkt."
ECLI:NL:HR:2003:AF5454,ECLI:NL:HR:2003:AF5454,8 juli 2003 Strafkamer nr. 00815/02 KD/SM Hoge Raad der Nederlanden,"8 juli 2003 Strafkamer nr. 00815/02 KD/SM Hoge Raad der Nederlanden Arrest op het beroep in cassatie tegen een arrest van het Gerechtshof te 's-Gravenhage van 5 maart 2002, nummer 22/000715-99, in de strafzaak tegen: [verdachte], geboren te [geboorteplaats] op [geboortedatum] 1955, wonende te [woonplaats]. 1. De bestreden uitspraak..."
ECLI:NL:HR:2003:AE8165,ECLI:NL:HR:2003:AE8165,1 juli 2003 Strafkamer nr. 00095/02 H SM Hoge Raad der Nederlanden,"1 juli 2003 Strafkamer nr. 00095/02 H SM Hoge Raad der Nederlanden Arrest op een aanvrage tot herziening van een in kracht van gewijsde gegaan arrest van het Gerechtshof te Arnhem van 22 december 2000, nummer 21/000908-00, ingediend door mr. J. Boksem, advocaat te Leeuwarden, namens: [aanvrager], geboren te [geboorteplaats] op [geboortedatum] 1953, ten tijde van de aanvrage gedetineerd in de Penitentiaire Inrichting ""Lelystad"" te Lelystad. 1. De uitspraak waarvan herziening is gevraagd..."
ECLI:NL:HR:2003:AF6629,ECLI:NL:HR:2003:AF6629,11 juli 2003 Eerste Kamer Nr. C02/013HR AT Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/013HR AT Hoge Raad der Nederlanden Arrest in de zaak van: de maatschap naar burgerlijk recht VETERINAIR CENTRUM AADAL, voorheen genaamd Dierenartspraktijk Heeswijk-Dinther/Veghel, gevestigd te Aadal-Dinther, gemeente Bernheze, EISERES tot cassatie, advocaat: mr. H.D.O. Blauw, t e g e n DENKAVIT NEDERLAND B.V.,"
ECLI:NL:HR:2003:AF7004,ECLI:NL:HR:2003:AF7004,11 juli 2003 Eerste Kamer Nr. C02/008HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/008HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: 1. DE STICHTING VERVROEGD UITTREDEN VOOR DE WONINGINRICHTING, thans genaamd: STICHTING VERVROEGD UITTREDEN WONEN,"
ECLI:NL:HR:2003:AF7419,ECLI:NL:HR:2003:AF7419,11 juli 2003 Eerste Kamer  Nr. C01/257HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer  Nr. C01/257HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [Eiseres], enig erfgenaam van [betrokkene 1], wonende te [woonplaats], EISERES tot cassatie, advocaat: mr. P. Garretsen, t e g e n de coöperatieve vereniging COÖPERATIEVE RABO-BANK SCHAIJK-REEK B.A., gevestigd te Schaijk, gemeente Landerd, VERWEERSTER in cassatie, advocaat: mr. M.V. Polak. 1. Het geding in feitelijke instanties..."
ECLI:NL:HR:2003:AF7423,ECLI:NL:HR:2003:AF7423,11 juli 2003 Eerste Kamer Nr. C01/280HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C01/280HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [Eiser], wonende te [woonplaats], EISER tot cassatie, advocaat: mr. E. van Staden ten Brink, t e g e n LONDON VERZEKERINGEN N.V., rechtsopvolgster onder algemene titel van ELVIA SCHADEVERZEKERINGEN N.V., gevestigd te Amsterdam, VERWEERSTER in cassatie, advocaat: mr. J.B.M.M. Wuisman. 1. Het geding in feitelijke instanties..."
ECLI:NL:HR:2003:AF7528,ECLI:NL:HR:2003:AF7528,11 juli 2003 Eerste Kamer Nr. C02/069HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/069HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: de vennootschap naar Deens recht BABY DAN A/S, gevestigd te Lasby, Denemarken, EISERES tot cassatie, advocaat: mr. F.I.S.A.L. van Velsen,"
ECLI:NL:HR:2003:AF7535,ECLI:NL:HR:2003:AF7535,11 juli 2003 Eerste Kamer Nr. C02/070HR MD Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/070HR MD Hoge Raad der Nederlanden Arrest in de zaak van: FROG NAVIGATION SYSTEMS B.V., gevestigd te Utrecht, EISERES tot cassatie, advocaat: mr. E. Grabandt, t e g e n [verweerster], gevestigd te [vestigingsplaats], VERWEERSTER in cassatie, niet verschenen. 1. Het geding in feitelijke instanties..."
ECLI:NL:HR:2003:AF7512,ECLI:NL:HR:2003:AF7512,11 juli 2003 Eerste Kamer Nr. C02/027HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/027HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [eiser], wonende te [woonplaats], EISER tot cassatie, advocaat: mr. E. van Staden ten Brink, t e g e n CARNED LEASE B.V., gevestigd te Beesd,"
ECLI:NL:HR:2003:AF7513,ECLI:NL:HR:2003:AF7513,11 juli 2003 Eerste Kamer Nr. C02/049HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/049HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [eiser], wonende te [woonplaats], EISER tot cassatie, advocaat: mr. J.B.M.M. Wuisman, t e g e n FORTIS (NEDERLAND) N.V., voorheen genaamd GENERALE BANK NEDERLAND N.V., voorheen genaamd CREDIT LYONNAIS BANK NEDERLAND N.V., gevestigd te Rotterdam, VERWEERSTER in cassatie, advocaat: mr. R.S. Meijer. 1. Het geding in feitelijke instanties..."
ECLI:NL:HR:2003:AF7674,ECLI:NL:HR:2003:AF7674,11 juli 2003 Eerste Kamer Nr. C01/358HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C01/358HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [eiseres], wonende te [woonplaats], Bondsrepubliek Duitsland, EISERES tot cassatie, advocaat: mr. M.H. van der Woude, t e g e n [verweerder], wonende te [woonplaats], VERWEERDER in cassatie, advocaat: mr. E. Grabandt. 1. Het geding in feitelijke instanties..."
ECLI:NL:HR:2003:AF7539,ECLI:NL:HR:2003:AF7539,11 juli 2003 Eerste Kamer Nr. R02/010HR RM Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. R02/010HR RM Hoge Raad der Nederlanden Arrest in de zaak van: 1. [Eiseres 1], 2. [Eiseres 2], erfgenamen van [betrokkene 1], beiden wonende op [woonplaats], EISERESSEN tot cassatie, advocaat: mr. M.H. van der Woude, t e g e n [Verweerster], wonende op [woonplaats], VERWEERSTER in cassatie, advocaat: mr. E. Grabandt. 1. Het geding in feitelijke instanties..."
ECLI:NL:HR:2003:AF7540,ECLI:NL:HR:2003:AF7540,11 juli 2003 Eerste Kamer Nr. R02/011HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. R02/011HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: de vennootschap naar Nederlands Antilliaans recht ORCO BANK N.V., gevestigd op Curaçao, Nederlandse Antillen, EISERES tot cassatie,"
ECLI:NL:HR:2003:AF7680,ECLI:NL:HR:2003:AF7680,11 juli 2003 Eerste Kamer Nr. R02/022HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. R02/022HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [Eiseres], wonende op [woonplaats], EISERES tot cassatie, advocaat: mr. P. Garretsen, t e g e n [Verweerder], wonende op [woonplaats],"
ECLI:NL:HR:2003:AF7884,ECLI:NL:HR:2003:AF7884,11 juli 2003 Eerste Kamer Nr. C01/262HR RM Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C01/262HR RM Hoge Raad der Nederlanden Arrest in de zaak van: [eiseres], gevestigd te [vestigingsplaats], EISERES tot cassatie, advocaat: mr. G.C. Makkink, t e g e n [verweerder], wonende te [woonplaats],"
ECLI:NL:HR:2003:AF7899,ECLI:NL:HR:2003:AF7899,11 juli 2003 Eerste Kamer Nr. C02/004HR RM Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/004HR RM Hoge Raad der Nederlanden Arrest in de zaak van: 1. [Eiser 1], wonende te [woonplaats], 2. [Eiseres 2], gevestigd te [vestigingsplaats] EISERS tot cassatie, advocaat: mr. C.J.J.C. van Nispen, t e g e n"
ECLI:NL:HR:2003:AF7900,ECLI:NL:HR:2003:AF7900,11 juli 2003 Eerste Kamer Nr. C02/021HR MD Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/021HR MD Hoge Raad der Nederlanden Arrest in de zaak van: SCHEEPSWERF DE DONGE B.V., gevestigd te Raamsdonk, EISERES tot cassatie, advocaat: mr. B. Winters, t e g e n [Verweerster], gevestigd te [vestigingsplaats], VERWEERSTER in cassatie, niet verschenen. 1. Het geding in voorgaande instanties..."
ECLI:NL:HR:2003:AF7904,ECLI:NL:HR:2003:AF7904,11 juli 2003 Eerste Kamer Nr. R02/016HR MD Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. R02/016HR MD Hoge Raad der Nederlanden Arrest in de zaak van: de vennootschap naar Nederlands-Antilliaans recht H.D. SECRET N.V., gevestigd op Curaçao, Nederlandse Antillen, EISERES tot cassatie,"
ECLI:NL:HR:2003:AF8069,ECLI:NL:HR:2003:AF8069,1 juli 2003 Strafkamer nr. 02163/02 SM Hoge Raad der Nederlanden,"1 juli 2003 Strafkamer nr. 02163/02 SM Hoge Raad der Nederlanden Arrest op het beroep in cassatie tegen een arrest van het Gerechtshof te Arnhem van 18 september 2001, nummer 21/001025-01, in de strafzaak tegen: [verdachte], geboren te [geboorteplaats] op [geboortedatum] 1972, wonende te [woonplaats]. 1. De bestreden uitspraak..."
ECLI:NL:HR:2003:AF8272,ECLI:NL:HR:2003:AF8272,11 juli 2003 Eerste Kamer Nr. C02/103HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/103HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [Eiser], wonende te [woonplaats], EISER tot cassatie, advocaat: mr. H.L. van Lookeren Campagne, t e g e n [Verweerder], wonende te [woonplaats],"
ECLI:NL:HR:2003:AF8276,ECLI:NL:HR:2003:AF8276,11 juli 2003 Eerste Kamer Rek.nr. R02/082HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Rek.nr. R02/082HR JMH Hoge Raad der Nederlanden Beschikking in de zaak van: [De man],"
ECLI:NL:HR:2003:AF8568,ECLI:NL:HR:2003:AF8568,11 juli 2003 Eerste Kamer Nr. C02/055HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/055HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [Eiser], wonende te [woonplaats], EISER tot cassatie, advocaat: mr. P.J.L.J. Duijsens, t e g e n 1. de vennootschap onder firma [verweerster 1],"
ECLI:NL:HR:2003:AF8577,ECLI:NL:HR:2003:AF8577,11 juli 2003 Eerste Kamer Nr. C02/093HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/093HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [Eiser], wonende te [woonplaats], EISER tot cassatie, advocaat: mr. P.J.L.J. Duijsens, t e g e n [verweerder], kantoorhoudende te [plaats],"
ECLI:NL:HR:2003:AF8776,ECLI:NL:HR:2003:AF8776,1 juli 2003 Strafkamer nr. 00026/03 B LR/SM Hoge Raad der Nederlanden,"1 juli 2003 Strafkamer nr. 00026/03 B LR/SM Hoge Raad der Nederlanden Beschikking op het beroep in cassatie tegen een beschikking van de Rechtbank te Middelburg van 3 december 2002, nummer 12/007389-02, op een beklag als bedoeld in artikel 552a van het Wetboek van Strafvordering, ingediend door: [klager], geboren te [geboorteplaats] (Vietnam) op [geboortedatum] 1948, wonende te [woonplaats] (Frankrijk). 1. De bestreden beschikking ..."
ECLI:NL:HR:2003:AF9417,ECLI:NL:HR:2003:AF9417,1 juli 2003 Strafkamer nr. 00001/03 AG/SM Hoge Raad der Nederlanden,"1 juli 2003 Strafkamer nr. 00001/03 AG/SM Hoge Raad der Nederlanden Arrest op het beroep in cassatie tegen een arrest van het Gerechtshof te 's-Hertogenbosch van 22 februari 2002, nummer 20/001371-01, in de strafzaak tegen: [verdachte], geboren te [geboorteplaats] (Denemarken) op [geboortedatum] 1976, ten tijde van de bestreden uitspraak gedetineerd in het Huis van Bewaring te Roermond. 1. De bestreden uitspraak..."
ECLI:NL:HR:2003:AF9534,ECLI:NL:HR:2003:AF9534,1 juli 2003 Strafkamer nr. 02512/02 LR/SM Hoge Raad der Nederlanden,"1 juli 2003 Strafkamer nr. 02512/02 LR/SM Hoge Raad der Nederlanden Arrest op het beroep in cassatie tegen een arrest van het Gerechtshof te Amsterdam, van 21 mei 2002, nummer 23/003891-01, in de strafzaak tegen: [verdachte], geboren te [geboorteplaats] (Suriname) op [geboortedatum] 1967, wonende te [woonplaats], ten tijde van de betekening van de aanzegging gedetineerd in het Huis van Bewaring ""Havenstraat"" te Amsterdam. 1. De bestreden uitspraak..."
ECLI:NL:HR:2003:AF9541,ECLI:NL:HR:2003:AF9541,8 juli 2003 Strafkamer nr. 01355/02 SG/SM Hoge Raad der Nederlanden,"8 juli 2003 Strafkamer nr. 01355/02 SG/SM Hoge Raad der Nederlanden Arrest op het beroep in cassatie tegen een arrest van het Gerechtshof te Amsterdam van 21 december 2001, nummer 23/000747-01, in de strafzaak tegen: [verdachte], geboren te [geboorteplaats] op [geboortedatum] 1981, wonende te [woonplaats], ten tijde van de bestreden uitspraak gedetineerd in de Penitentiaire Inrichting ""Almere Binnen"" te Almere. 1. De bestreden uitspraak..."
ECLI:NL:HR:2003:AF9561,ECLI:NL:HR:2003:AF9561,8 juli 2003 Strafkamer nr. 00269/03 B EW/SM Hoge Raad der Nederlanden,"8 juli 2003 Strafkamer nr. 00269/03 B EW/SM Hoge Raad der Nederlanden Beschikking op het beroep in cassatie tegen een beschikking van de Rechtbank te Amsterdam van 28 november 2002, nummer RK 02/1364, op een beklag als bedoeld in artikel 552a van het Wetboek van Strafvordering, ingediend door: [klager], geboren te [geboorteplaats] (Marokko) op [geboortedatum] 1964, wonende te [woonplaats]. 1. De bestreden beschikking..."
ECLI:NL:HR:2003:AF9716,ECLI:NL:HR:2003:AF9716,11 juli 2003 Eerste Kamer Rek.nr. R03/022HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Rek.nr. R03/022HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [Verzoeker], wonende te [woonplaats], VERZOEKER tot cassatie, advocaat: mr. A.B.B. Beelaard, 1. Het geding in feitelijke instanties..."
ECLI:NL:HR:2003:AH9167,ECLI:NL:HR:2003:AH9167,11 juli 2003 Eerste Kamer Nr. C01/359HR MD Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C01/359HR MD Hoge Raad der Nederlanden Arrest in de zaak van: [eiser], wonende te [woonplaats], EISER tot cassatie, advocaat: mr. P. Garretsen, t e g e n Mr. Siemen Andries ROODHOF, in zijn hoedanigheid van curator in het faillissement van [betrokkene 1], kantoorhoudende te Leeuwarden, VERWEERDER in cassatie, advocaat: mr. E. Grabandt. 1. Het geding in feitelijke instanties..."
ECLI:NL:HR:2003:AH9339,ECLI:NL:HR:2003:AH9339,11 juli 2003 Eerste Kamer Nr. R02/006HR MD Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. R02/006HR MD Hoge Raad der Nederlanden Arrest in de zaak van: [Eiser], wonende op [woonplaats], EISER tot cassatie, incidenteel verweerder, advocaat: mr. H.J.W. Alt, t e g e n SOHELY CONSTRUCTIONS N.V.,"
ECLI:NL:HR:2003:AH9611,ECLI:NL:HR:2003:AH9611,11 juli 2003 Eerste Kamer Nr. C03/130HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C03/130HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [Eiser], wonende te [woonplaats], EISER tot cassatie, advocaat: mr. P. Garretsen, t e g e n [Verweerder], handelende onder de naam D.K.S. Systems, wonende te [woonplaats], VERWEERDER in cassatie, niet verschenen. 1. Het geding in cassatie..."
ECLI:NL:HR:2003:AH9616,ECLI:NL:HR:2003:AH9616,11 juli 2003 Eerste Kamer Nr. C02/059HR JMH Hoge Raad der Nederlanden,"11 juli 2003 Eerste Kamer Nr. C02/059HR JMH Hoge Raad der Nederlanden Arrest in de zaak van: [Eiser], wonende te [woonplaats], EISER tot cassatie, advocaat: mr. P. Garretsen, t e g e n DE STAAT DER NEDERLANDEN (Ministerie van Justitie),"
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"Scientology c.s. hebben in dit geding gevorderd, samengevat:"
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"a) te verklaren voor recht dat de (in eerste aanleg gedaagde) providers door het zonder toestemming van hen (Scientology c.s.), als direct of indirect rechthebbenden, voor derden toegankelijk op door hen gecontroleerde, dan wel aan hen toebehorende computersystemen aanwezig hebben van "
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"hierna ook te noemen: Scientology, RTC en NEPI, dan wel gezamenlijk Scientology c.s.,"
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,Scientology c.s. zijn bij exploiten van 8 en 9 september 1999 in hoger beroep gekomen van het door de rechtbank 's-Gravenhage tussen Scientology c.s. als eisers enerzijds en onder meer geïntimeerden als gedaagden anderzijds gewezen vonnis van 9 juni 1999. Zij hebben daartegen drie (onvoorwaardelijke) grieven en drie voorwaardelijke grieven aangevoerd. 
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"De procedure tussen Scientology c.s. en geïntimeerde sub 6 is op 27 april 2000 geroyeerd. De Providers en [F] hebben de grieven bestreden. Zij hebben, incidenteel appellerend, acht grieven tegen het vonnis aangevoerd, welke door Scientology c.s. zijn bestreden."
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"4. Scientology c.s. hebben in dit geding gevorderd, samengevat:"
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"a) te verklaren voor recht dat de (in eerste aanleg gedaagde) providers door het zonder toestemming van hen (Scientology c.s.), als direct of indirect rechthebbenden, voor derden toegankelijk op door hen gecontroleerde, dan wel aan hen toebehorende computersystemen aanwezig hebben van "
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"e) de providers te bevelen, op straffe van dwangsommen, Scientology c.s. te informeren over de namen en adressen van derden die via hun computersysteem of een door hen gecontroleerd computersysteem inbreukmakende documenten openbaar gemaakt of verveelvoudigd hebben, dan wel zullen openbaar maken of verveelvoudigen. "
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"In hoger beroep herhalen [F] en de Providers hun betwisting dat het auteursrecht op de OT-werken toekomt aan Scientology. De rechtbank heeft overwogen, [H] de auteursrechten op zijn werken bij testament heeft vermaakt aan de Trustee of Author's Family Trust B en dat blijkens de ten processe overgelegde akte van ""Assignment"" met de daarbij behorende ""Attachment B""  (productie 10 bij conclusie van eis in eerste aanleg van Scientology c.s.) de auteursrechten op OT I tot en met OT III, die in die akte worden vermeld, evenals het auteursrecht op Ability, zijn overgedragen aan Scientology, en dat aan RTC respectievelijk NEPI een licentie is verleend met betrekking tot (onder meer) OT II en OT III respectievelijk (onder meer) Ability. Nu [F] en de Providers dit onvoldoende hebben weersproken, gaat het hof ervan uit dat Scientology, voor zover van belang, auteursrechthebbende is op de werken OT II, OTIII en Ability en dat RTC en NEPI licentiehoudster zijn met betrekking tot OT II en OT III respectievelijk Ability."
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"Wat de overige werken betreft stellen Scientology c.s. onder 19 van hun memorie van antwoord in het incidenteel appèl dat het feit dat in deze procedure alleen het auteursrecht van Scientology c.s. op de werken OT II, OT III en Ability is komen vast te staan niet afdoet aan de verplichting van de Providers om ""de verveelvoudiging van andere werken"", waarop Scientology auteursrecht heeft, te verwijderen dan wel te blokkeren na ontvangst van een kennisgeving aan de juistheid waarvan in redelijkheid niet valt te twijfelen.  "
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"Daar Scientology c.s. ook in hoger beroep niet nader hebben onderbouwd dat zij rechthebbende(n) zijn op andere werken dan OT II, OT III en Ability, gaat het hof aan de vermeende inbreuk op die ""andere werken"" voorbij.  "
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,6. Scientology c.s. hebben hun vorderingen (primair) gebaseerd op het recht zich te verzetten tegen het zonder toestemming openbaarmaken en verveelvoudigen van auteursrechtelijk beschermde werken waarvan zij het auteursrecht bezitten.  
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"7.4. Scientology c.s. stellen zich op het standpunt dat de OT-werken nooit eerder rechtmatig openbaar zijn gemaakt en dat aan [F] ook geen toestemming is gegeven voor het citeren uit die werken. Die werken, aldus Scientology c.s., worden slechts in beveiligde ruimten ter inzage gegeven aan geselecteerde leden aan wie bovendien strikte geheimhouding is opgelegd. Volgens Scientology worden alleen die leden geselecteerd ""die een bepaald niveau van spiritualiteit hebben bereikt en die door de Church worden uitgenodigd deel te nemen aan religieuze bijeenkomsten waarbij beperkt gebruik wordt gemaakt van de OT-werken."" "
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"7.5. [F] en de Providers voeren aan dat de stukken OT II en OT III, die sinds de jaren '50 bestaan, geruime tijd binnen de Scientology-gemeenschap hebben gecirculeerd en dat leden, die het desbetreffende ""OT-level"" hadden bereikt de documenten in hun bezit kregen (pleitnotities mr Van Manen in eerste aanleg, 28). Zij beroepen zich op een verklaring va[I] (zie Appendix p.115 e.v., KS-28, bij het Verweer van [F]  (productie 2c in kort geding, overgelegd bij conclusie van antwoord van mr Bakker Schut) en de getuigenverklaring van [J], vice-president van RTC (kenbaar uit pagina's 52 en 53 van het door Scientology c.s. als productie 47 overgelegde Zweedse vonnis van 14 september 1998), dat ongeveer 20.000 tot 25.000 (en bij pleidooi in hoger beroep: minimaal 25.000) mensen OT II en OT III hebben gelezen, en op de pagina's 53 en 54 van dat vonnis. "
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"Scientology c.s. weerspreken op zichzelf niet dat door de jaren heen een groot aantal personen heeft kennisgenomen van de OT II en OT III, maar voeren aan dat dit geschiedde onder strikte geheimhouding. Zij betwisten dat werken aan leden werden (mee)gegeven, en voeren aan dat, indien derden (waaronder gewezen leden) inzage van de geschriften hebben gekregen, dit op onrechtmatige wijze is geschied."
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"7.6. Scientology c.s. betogen dat de term ""openbaar gemaakt"" in artikel 15a Aw de eerste openbaarmaking betreft; het gaat daarbij om het verschijnen, het toegankelijk maken van  werken voor een algemeen publiek."
ECLI:NL:GHSGR:2003:AI5638,ECLI:NL:GHSGR:2003:AI5638,Scientology c.s.,"Hoewel uit de processtukken blijkt dat de [G] Affidavit (met de bijlagen) via het internet is verspreid en aldus in het publieke domein is gekomen, moet op grond van de processtukken ervan worden uitgegaan dat daartoe noch door Scientology noch door Scientology c.s. toestemming is verleend, zodat het hof ervan zal uitgaan dat op deze wijze de documenten niet rechtmatig openbaar zijn gemaakt. "
